0	Q1of4_100kbBookendBoundaries_removeGaps.bed	Q2of4_100kbBookendBoundaries_removeGaps.bed	Q3of4_100kbBookendBoundaries_removeGaps.bed	Q4of4_100kbBookendBoundaries_removeGaps.bed
MorningPerson	0.17245768742036086	0.14800973170770482	0.8749718623456294	0.000830746915959047
YearsOfEd2	0.337774085298158	0.335620427069558	0.03426121471321297	0.040476455787187976
T2D2	0.3866339808733661	0.9438856597722008	0.17771418224990326	0.5898748717428449
SkinColor	0.4889985184599439	0.6818691671401979	0.5259614118530135	0.3554193304660479
Balding	0.0024247296922272287	0.11463210142792303	0.8792828158739165	0.4114445513344093
HairColor	0.8359104781055624	0.16410310906669612	0.5575548251000153	0.8064748571094614
FVC	0.9538582740697836	0.04507229952036677	0.30835183459334264	0.29320840336245363
ASD	0.314912961757476	0.7505321001971645	0.19834358048729056	0.7791195786545195
Sunburn	0.3401477899403309	0.5323965265102315	0.7090475239527627	0.4349775268457433
Schizophrenia	0.11607871661439102	0.9145582903816282	0.7123922537770047	0.8026095099346786
Anorexia	0.801664585957986	0.7147234602402217	0.4627269367308426	0.2844101737460832
SmokingStatus	0.6868341728015998	0.11633007144749707	0.17962189169349285	0.1543749676741609
FirstBirthAge	0.3029870628180783	0.7613500259869665	0.4220275574452661	0.11298796116522553
Tanning	0.5029700580288363	0.9427180669475383	0.9059620785305128	0.3703001300141652
NumChildrenBorn	0.6687906748421889	0.3065993682454079	0.5395356564996474	0.08265225114481399
DepressiveSxs	0.3798955517174397	0.6623675834703748	0.9642969630102212	0.5031700822372297
BMI2	0.9791504939996464	0.2630637476927308	0.9653520573891484	0.2059540884904837
Neuroticism	0.4823584169105043	0.08139808332069619	0.96356818187788	0.007314489077817672
MenarcheAge	0.1420014831199224	0.4174418513679871	0.687152577220655	0.1828547257380948
Heel_T_Score	0.8026489468193984	0.6770111420463674	0.05457415890857663	0.9045749469569327
Eczema	0.6743853772577453	0.5557571500982281	0.12716760708919686	0.14266744330320236
SystolicBP	0.0022944506467675453	0.3585885461933369	0.0014198405920412614	0.5031282135111588
AutoimmuneDz	0.8220789679286397	0.8236034373571117	0.025090119903573502	0.7545066119672766
MenopauseAge	0.08772508989553779	0.5243748950164815	0.01953686442742881	0.006671784087411499
WaistHipRatio	0.7616991276979803	0.9496532759172231	0.553662920299904	0.4462525735737415
RBCCount	0.03540784636070396	0.6807397042728354	2.916597445557737e-06	0.513099882323488
EosinophilCount	0.638905957798817	0.28224651633300074	0.08152910307508582	0.24361490405446584
Resp_ENT_Dz	0.6732295041152783	0.5803982098896585	0.10283743895979147	0.5070044410043656
RA	0.6825900280320689	0.6704565650949571	0.6618562246319112	0.17058146087256304
PlateletCount	0.0003913351115820053	0.051863936554566656	3.5122585341110075e-05	0.004130824059477279
HDL	0.9634870288455964	0.07972091864431126	0.9524583691027734	0.25320542197831936
UC	0.9724807036512042	0.718275922994636	0.016287354905501983	0.4589370695008325
Hypothyroidism	0.6756198974298605	0.822604234014889	0.013828551664582498	0.3676537050500546
WBCCount	0.07137143354905558	0.16282227978374478	0.003227059746061568	0.0004024632855130706
LDL	0.10587841342208744	0.04585926450352063	0.0001807241705528167	0.059749927421265676
CrohnsDz	0.7022464782545385	0.842102680551681	0.000828085451126006	0.829125002502281
Height2	0.05517201947028437	0.5934548248948268	0.002646773911633721	0.0007615195583494036
DermDz	0.20885050432925928	0.2543192283806197	0.8715783875754701	0.3594495824167172
FEV1_FVC_Ratio	0.2488193641710628	0.6438959029464179	0.20429057514643406	0.11323588493288175
RDW	0.3681902687336697	0.09553831308283892	0.0013872908951408744	0.0010340569270716855
HighCholesterol	0.36628876417830336	0.1294520539836148	0.08616004293233846	0.3543640009709637
