0	boundaries_100kbBookend_germLayerStability_1.bed	boundaries_100kbBookend_germLayerStability_2.bed	boundaries_100kbBookend_germLayerStability_3.bed
MorningPerson	0.8886225321860001	1.02812354104	0.860484632601
YearsOfEd2	1.03140560077	0.865606554756	0.912712961013
T2D2	0.8776003844429999	1.2591658750499999	1.03738597766
SkinColor	1.30329557146	0.845756726083	0.999319084441
Balding	0.652648762495	0.816722816286	0.946939806274
HairColor	0.9328058617380001	0.650865245897	1.10937970821
FVC	0.9480563123000001	0.9752415900910001	1.0558016940700001
ASD	0.79735857068	1.10548427332	0.833223104429
Sunburn	1.41648804981	0.8082979322480001	0.923053025819
Schizophrenia	0.914992218525	1.05070402286	0.962086111102
Anorexia	0.9290057877060001	0.9406191628589999	0.850865568223
SmokingStatus	0.980785670961	0.931192546223	0.901622367673
FirstBirthAge	0.907864297269	0.8054798970300001	0.926943161157
Tanning	1.30042730347	0.86096166404	0.915887264068
NumChildrenBorn	0.964005249214	0.9062498831620001	0.886115667581
DepressiveSxs	1.11812200042	1.17883862389	0.833014134619
BMI2	0.9672874325059999	0.957672075143	0.971378056303
Neuroticism	0.917495432155	1.23108263849	0.888138918227
MenarcheAge	0.916992098564	0.9162136627449999	1.08138627918
Heel_T_Score	0.911326304769	1.04732182498	1.1229488795
Eczema	1.08417932089	0.981862504331	1.2063170211299998
SystolicBP	0.8134444675779999	1.08614314685	1.15861588763
AutoimmuneDz	1.19096659599	0.6527573089750001	1.4207805311700001
MenopauseAge	0.8910673209990001	0.895338408761	1.6766127503400001
WaistHipRatio	0.935783115626	1.08282133175	1.06949827596
RBCCount	0.8747324687960001	1.1714153735700001	1.25037437513
EosinophilCount	1.1362355540200002	0.95293810412	1.26223190205
Resp_ENT_Dz	1.0053814872	1.02716264339	1.12106225058
RA	1.2169060944399999	0.7432837743459999	1.28795573599
PlateletCount	0.8929312215109999	1.26707487629	1.3847017628799998
HDL	1.0499169105	1.00486045581	1.26932279183
UC	0.813518573608	1.5557323762000002	1.41307678925
Hypothyroidism	0.910863813008	1.10953675686	1.42603058476
WBCCount	0.9302509408840001	1.1497537584	1.36145981513
LDL	0.8869217897399999	1.8993077348700003	1.7381853314099998
CrohnsDz	0.870208070163	1.4712736055899998	1.27993271376
Height2	0.901572869104	1.0727398823799998	1.25327532359
DermDz	1.33902054816	1.3892235623500002	1.16552510773
FEV1_FVC_Ratio	0.902902202943	0.9808473131119999	1.1296100718200002
RDW	0.9107576065240001	1.3625838862900002	1.46937992198
HighCholesterol	0.919392537875	1.9618945101099998	1.25566778904
